COM 287,AN  300,2090,1934,46,44,0.9253588516746412,0.9565217391304348,-0.031162887455793653
MA  322,EE  599,3287,2582,36,32,0.7855187100699726,0.8888888888888888,-0.10337017881891619
LIS 510,MA  202,378,357,143,136,0.9444444444444444,0.951048951048951,-0.006604506604506621
PHY 232,MSE 351,2685,2277,51,42,0.8480446927374302,0.8235294117647058,0.024515280972724374
CHE 113,PSY 313,10146,8849,32,24,0.8721663709836389,0.75,0.12216637098363892
ECO 499,ECO 450G,295,266,40,37,0.9016949152542373,0.925,-0.02330508474576276
CHE 107,KHP 200,12832,9003,106,65,0.70160536159601,0.6132075471698113,0.08839781442619865
JOU 302,JOU 455,208,182,99,84,0.875,0.8484848484848485,0.02651515151515149
BIO 153,CHE 230,1371,1280,645,628,0.9336250911743253,0.9736434108527132,-0.04001831967838787
MAT 425,MKT 320,195,192,114,113,0.9846153846153847,0.9912280701754386,-0.006612685560053899
MA  111,GEO 172,12026,10164,100,78,0.8451688009313155,0.78,0.0651688009313155
CS  101,SOC 101,4498,3859,247,207,0.8579368608270342,0.8380566801619433,0.019880180665090896
ENG 207,MUS 266,1257,1179,78,74,0.9379474940334129,0.9487179487179487,-0.010770454684535746
ENG 104,SW  124,10873,9472,47,41,0.8711487170054263,0.8723404255319149,-0.001191708526488644
ENG 336,ENG 330,396,352,62,48,0.8888888888888888,0.7741935483870968,0.11469534050179209
DHN 517,DHN 304,244,239,46,46,0.9795081967213115,1.0,-0.020491803278688492
CLD 100,CLD 370,331,318,34,32,0.9607250755287009,0.9411764705882353,0.01954860494046562
ME  251,MA  194,358,299,41,33,0.835195530726257,0.8048780487804879,0.03031748194576911
CS  115,ECO 201,3214,2227,116,71,0.6929060360920971,0.6120689655172413,0.08083707057485578
KHP 260,KHP 300,400,389,54,53,0.9725,0.9814814814814815,-0.00898148148148148
FIN 430,FIN 423,340,322,183,174,0.9470588235294117,0.9508196721311475,-0.0037608486017357556
B&E 105,ECO 391,3811,3127,1395,1268,0.8205195486748885,0.9089605734767026,-0.08844102480181404
TA  265,TA  126,213,180,31,27,0.8450704225352113,0.8709677419354839,-0.025897319400272623
ENG 280,PHY 232,2802,2519,43,41,0.8990007137758744,0.9534883720930233,-0.05448765831714886
GER 102,AST 191,1253,1114,32,30,0.8890662410215483,0.9375,-0.0484337589784517
STA 291,NFS 302,5236,4402,31,27,0.8407181054239877,0.8709677419354839,-0.030249636511496147
B&E 102,MGT 320,2362,2355,145,145,0.9970364098221846,1.0,-0.002963590177815445
EQM 105,EQM 106,161,149,62,59,0.9254658385093167,0.9516129032258065,-0.026147064716489754
PS  101,MA  201,8911,7386,57,48,0.8288632027830771,0.8421052631578947,-0.013242060374817566
DHN 524,DHN 520,0,0,30,30,NaN,1.0,NaN
ENG 104,CLA 131,10915,9505,68,63,0.8708199725148877,0.9264705882352942,-0.055650615720406416
PS  101,UK  090,4365,3589,99,68,0.8222222222222222,0.6868686868686869,0.13535353535353534
ANT 220,ECO 202,1091,983,30,26,0.9010082493125573,0.8666666666666667,0.0343415826458906
STA 210,CHE 195,2483,2165,30,28,0.8719291180024165,0.9333333333333333,-0.06140421533091689
ENG 264,CLA 131,1592,1382,54,52,0.8680904522613065,0.9629629629629629,-0.09487251070165637
CHE 230,DHN 241,4167,3349,164,125,0.8036957043436526,0.7621951219512195,0.04150058239243304
FAM 357,HES 100,747,701,78,71,0.9384203480589023,0.9102564102564102,0.028163937802492045
GEO 109,STA 291,962,857,47,46,0.8908523908523909,0.9787234042553191,-0.08787101340292824
MAT 114,MAT 120,858,814,292,276,0.9487179487179487,0.9452054794520548,0.0035124692658938805
COM 313,B&E 105,1404,1260,33,30,0.8974358974358975,0.9090909090909091,-0.011655011655011593
CIS 110,PLS 103,9298,8287,35,26,0.8912669391266939,0.7428571428571429,0.14840979626955098
STA 296,CIS 112,4825,4151,56,55,0.8603108808290155,0.9821428571428571,-0.12183197631384157
PSY 223,COM 101,6689,6095,104,94,0.9111974884138138,0.9038461538461539,0.007351334567659906
MA  114,CE  120,4809,3329,100,66,0.6922437097109586,0.66,0.03224370971095858
CE  381,ME  220,684,674,37,37,0.9853801169590644,1.0,-0.014619883040935644
EE  280,A&S 100,1586,1202,43,26,0.7578814627994955,0.6046511627906976,0.1532303000087979
KHP 120,MA  214,4809,4521,48,47,0.9401122894572677,0.9791666666666666,-0.03905437720939897
KHP 573,CLA 131,1255,1236,60,60,0.9848605577689243,1.0,-0.015139442231075662
MAT 350,FAM 350,81,80,57,57,0.9876543209876543,1.0,-0.012345679012345734
CHE 109,KHP 120,1527,1054,64,48,0.6902423051735429,0.75,-0.0597576948264571
MUC 190,MA  213,1164,1124,32,31,0.9656357388316151,0.96875,-0.0031142611683848687
MGT 301,SOC 342,7353,6698,33,27,0.910920712634299,0.8181818181818182,0.09273889445248074
GEN 100,MA  113,3519,3225,58,56,0.9164535379369139,0.9655172413793104,-0.04906370344239652
MKT 300,DIS 300,4112,3856,122,122,0.9377431906614786,1.0,-0.0622568093385214
CE  351,CE  381,513,459,234,217,0.8947368421052632,0.9273504273504274,-0.03261358524516422
GEO 261,BIO 155,1985,1783,84,81,0.8982367758186398,0.9642857142857143,-0.06604893846707449
COM 553,COM 453,149,136,48,41,0.912751677852349,0.8541666666666666,0.05858501118568238
CHE 107,CLA 135,8715,5958,128,84,0.6836488812392427,0.65625,0.027398881239242723
EQM 300,AEC 302,147,142,31,30,0.9659863945578231,0.967741935483871,-0.001755540926047905
